Tweet_ID,Author_ID,Text,Created_At
1892394495611752858,705539763349164032,Women in : helps companies implement Cc,2025-02-20 02:03:01+00:00
1892394313272717804,4879174121,"Check out my article on DeepSeek-V3! This 671B-parameter open-source LLM is shaking up AI with smart tech and efficiency. 1/2 ,",2025-02-20 02:02:17+00:00
1892393864494813313,1892388757883801600,I'm thrilled to announce the launch of my journey into AI-driven creativity! Stay tuned for exclusive illustrations and premium AI-generated visuals that blend innovation with beauty. Join me on this exciting adventure,2025-02-20 02:00:30+00:00
1892393845960196386,47254260,Watch on-demand to explore what steps organizations are taking to mitigate risks in their supply chain and how AI plays a crucial role. Register now:,2025-02-20 02:00:26+00:00
1892393816272834948,875579780506066945,"Explore this insightful on the role of the Metaverse in . Discover how , , and are transforming the industry. CC:",2025-02-20 02:00:19+00:00
1892393751328272692,19255955,"What's new in dermatology involving ? A new video feature highlights some of the latest research, interviewing 3 experts with different backgrounds on the ever-changing topic of AI. Check out the video here...",2025-02-20 02:00:03+00:00
1892393749247840736,1465363421126447109,"""Study finds that when thinks it will lose, it may cheat in games like chess and Go. Research sheds light on AI behavior in competitive scenarios. ğŸ¤–ğŸ² Share your thoughts below!""",2025-02-20 02:00:03+00:00
1892393743216758891,1689880916217544704,"Unlocking the future of productivity with Zerix! ğŸ¤– Our intelligent agent network harnesses , , and for seamless multi-agent collaboration. Join us in transforming workflows! ğŸ’¡",2025-02-20 02:00:02+00:00
1892393248703787229,555031989,Humanoid robot 4NE-1 from Neura by cc:,2025-02-20 01:58:04+00:00
1892393156462678351,338736117,ğŸ¤©ğŸ”¥This is the power of ! Those historical legends like Emperor Qin Shi Huang and the Mona Lisa have been brought back to life by the incredible AI-generated video.,2025-02-20 01:57:42+00:00
1892393151727550735,3681341236,Interesting Article! Exploring the Relationship between Land Use and Congestion Source in Xiâ€™an: A Multisource Data Analysis Approach Read at,2025-02-20 01:57:40+00:00
1892393141417988319,1785726449992847360,I've just released my first video clip made with the help of an ! ğŸ¥ â€¦,2025-02-20 01:57:38+00:00
1892392786709660150,1706356537353256960,...,2025-02-20 01:56:13+00:00
1892392029365424625,1713369924637437952,"That is why M. and M. and M. and M. and everyone in have converged on . is their , their universal servitor. If they themselves don't know how to solve problems, the magic AI will! ~Chara",2025-02-20 01:53:13+00:00
1892391814600040781,1724183495122079744,Quantum Machine Learning and Hamiltonian Simulation School - a Quantum Fringe event,2025-02-20 01:52:22+00:00
1892391558424428561,726415079516852225,Chips will upgrade Robots to Androids.,2025-02-20 01:51:21+00:00
1892391301808574942,1240154652,ğŸ”¥ Read our Highly Cited Paper ğŸ“š Joint Resource Allocation and Learning Optimization for UAV-Assisted Federated Learning ğŸ”— ğŸ‘¨â€ğŸ”¬ by Chaoyi Liu et al.,2025-02-20 01:50:19+00:00
1892390845271167181,1889855294467096576,100% off Udemy course coupon Data Science &amp; AI Masters 2025 - From Python To Gen AI,2025-02-20 01:48:31+00:00
1892390207858631036,1642996015010553864,8 strange ways emproyees can (accidently) expose data qqa as !!,2025-02-20 01:45:59+00:00
1892390064971227254,1875497979886628865,Grok vs ChatGPT vs DeepSeek: Battle of AI Giants,2025-02-20 01:45:25+00:00
1892389725803003919,3064266184,"â€™s releases its latest flagship model, | TechCrunch",2025-02-20 01:44:04+00:00
1892389229948289251,482192892,"While embracing advancements in AI technology, itâ€™s crucial for higher ed professionals to prioritize academic integrity and implement ethical guidelines. Learn more in our blog:",2025-02-20 01:42:05+00:00
1892389124033699883,1559603723134959624,ğŸš¨ FOR SALE ğŸš¨ $TAO $dTAO,2025-02-20 01:41:40+00:00
1892388959944118466,19164186,Chaos acquires CEO Bill Allen's AI software firm EvolveLab,2025-02-20 01:41:01+00:00
1892388955007373504,29566460,"Keep going, Joe! Keep Going! You and might have been a bit early, initially... but now, you're right on time! â˜ºï¸ I'm sure and the $DATI asset portfolio will soon thanking you, big time!",2025-02-20 01:41:00+00:00
1892388703127155034,952502046,For creative minds Play inside of your with a bit of AI magic â¤ï¸ğŸ®,2025-02-20 01:40:00+00:00
1892388656003891513,1794838717766463488,8 strange ways emproyees can (accidently) expose data qqa as !!,2025-02-20 01:39:49+00:00
1892388598458048746,1794838717766463488,8 strange ways emproyees can (accidently) expose data qqa as !!,2025-02-20 01:39:35+00:00
1892388560247894431,1794838717766463488,8 strange ways emproyees can (accidently) expose data qqa as !!,2025-02-20 01:39:26+00:00
1892388405813690424,1881396030853267456,What mischief could this girl get up to ğŸ˜ By: / ğŸ’œ~Additional tag: ğŸ“· Ùart,2025-02-20 01:38:49+00:00
1892388212980564252,1642996015010553864,Is mandatory password expiration helping or hurting your password security?,2025-02-20 01:38:03+00:00
1892387951348269318,19279811,[Video] Introducing AI Foundry Labs,2025-02-20 01:37:01+00:00
1892387731067568453,837341223694249984,Times of India : AI cloud startup Lambda raises $480 million in new round; Nvidia among investors.,2025-02-20 01:36:08+00:00
1892387469145845979,1518733218425761792,ğŸš€ Unlock the power of AI with ğŸ”¹ Smart AI model evaluation ğŸ”¹ Seamless deployment &amp; feedback ğŸ”¹ Perfect for creators &amp; developers Join the future of AI inference today! ğŸŒŸ,2025-02-20 01:35:06+00:00
1892387115855446273,1241749653013630976,"â–¶ï¸How Work: Pre-Training to Post-Training, Neural Networks, Hallucinations, and Inference",2025-02-20 01:33:41+00:00
1892387032426488053,1241749653013630976,ğŸ‘‰Data vs. Business Strategy Which is responsible for what?,2025-02-20 01:33:22+00:00
1892386926553927933,1559603723134959624,"ğŸš¨ FOR SALE ğŸš¨ $29,888",2025-02-20 01:32:56+00:00
1892386906983252122,1667803532395773952,"If your account is Hacked, or your Account being tempered with, All you need is a Good hacker... Inbox now for all Hacking Services",2025-02-20 01:32:52+00:00
1892386468800221626,1859769178606977024,"""Bet you canâ€™t name 3 things you love about yourself in 10 seconds. Like if you nailed itâ€”or if youâ€™re still overthinking it. ğŸ’›âœ¨"" â€œDrop your 3 belowâ€”I dare you!â€",2025-02-20 01:31:07+00:00
1892386438450442412,952502046,For creative minds Play inside of your with a bit of AI magic â¤ï¸ğŸ®,2025-02-20 01:31:00+00:00
1892385969124327888,898078230028177412,Revolutionizing the Energy Sector: How AI Agents Improve Efficiency and Sustainability in Energy Management,2025-02-20 01:29:08+00:00
1892385772617015343,1876239676987637760,Surprise via,2025-02-20 01:28:21+00:00
1892385760981983259,322151589,"How to Create a Video Using Artificial Intelligence ""AI"" via",2025-02-20 01:28:18+00:00
